paymill_Amount,Cantidad
paymill_error_text_invalid_number_elv,"Por favor, introduce un número válido de la cuenta para la domiciliación bancaria."
PAYMILL_field_invalid_account_number,"Por favor, introduce un número válido de la cuenta para la domiciliación bancaria."
paymill_error_text_invalid_payment,"El método de pago no se ha podido identificar. Por favor, contacta con nuestro equipo de soporte."
paymill_dialog_confirm,"¿Estás seguro?"
paymill_slogan,"Pagos seguros con tarjeta de crédito gestionados por"
paymill_slogan_elv,"Domiciliación bancaria gestionada por"
paymill_credit_card,"Tarjeta de crédito"
paymill_creditcard,"Tarjeta de crédito"
paymill_3ds_cancel,Cancelar
paymill_Cvc,"Código CVC"
paymill_Holder,"Titular de la tarjeta"
paymill_Number,"Número de tarjeta"
paymill_Date,"Válida hasta"
paymill_cvc_tooltip,"El código CVV o CVC es una medida de seguridad de las tarjetas de crédito. Normalmente es un número de tres a cuatro dígitos de longitud. En las tarjetas de crédito VISA, se le llama código CVV. Se puede encontrar este mismo código en las tarjetas de crédito MasterCard -donde se le llama CVC. CVC es la abreviatura de ""código de validez de la tarjeta"". El código CVV, por otro lado, es la abreviatura de ""código de valor de verificación de la tarjeta"". Parecidas a MasterCard y Visa, otras tarjetas como Diners Club, Discover y JCB contienen un número de tres dígitos que se encuentra normalmente en el reverso de la tarjeta de crédito. Las tarjetas MAESTRO pueden tener o no el código CVV de tres dígitos. En caso de usar una tarjeta MAESTRO sin CVV, puede introducir 000 en el formulario en su lugar. American Express usa el CID (número de identificación de la tarjeta). El CID es un número de cuatro dígitos que normalmente se encuentra en el anverso de la tarjeta, arriba a la derecha del número de la tarjeta de crédito."
paymill_directdebit,"Domiciliación bancaria"
paymill_direct_debit,"Domiciliación bancaria"
paymill_bankcode,"Código bancario"
paymill_account,"Número de cuenta"
paymill_backend_log_entry_date,"Fecha de registro"
paymill_backend_log_dev_info,"Desarrollador de informes"
paymill_backend_log_id,Identificación
paymill_backend_log_merchant_info,"Información del comerciante"
paymill_log,"Registro de PAYMILL"
paymill_backend_log_version,"Versión del módulo"
paymill_credit_card_label,"Pagos con tarjeta de crédito PAYMILL"
paymill_direct_debit_label,"Pagos con dedomiciliación bancaria PAYMILL"
paymill_activate_sepa,"Mostrar solicitud SEPA"
paymill_Basic_Setting,"Configuración Básica Paymill"
paymill_iban,IBAN
paymill_bic,BIC
paymill_public_key_tooltip,"Por favor, introduzca una clave pública válida"
paymill_private_key_tooltip,"Por favor, introduzca una clave privada válida"
paymill_error_text_invalid_token,"El siguiente error ha ocurrido:"
paymill_error_text_no_entry_selected,"Por favor, seleccione una entrada"
paymill_action_delete,"Borrar entrada"
paymill_backend_log_dev_info_additional,"Información Adicional del Desarrollador"
paymill_checkout_generating_invoice,"Se está generando la factura"
paymill_log_action_success,"Acción correcta"
paymill_checkout_desc,"Texto descriptivo"
"General undefined response.","General undefined response."
"Still waiting on something.","Still waiting on something."
"General success response.","General success response."
"General problem with data.","General problem with data."
"General problem with payment data.","General problem with payment data."
"Problem with credit card data.","Problem with credit card data."
"Problem with cvv.","Problem with cvv."
"Card expired or not yet valid.","Card expired or not yet valid."
"Limit exceeded.","Limit exceeded."
"Card invalid.","Card invalid."
"Expiry date not valid.","Expiry date not valid."
"Credit card brand required.","Credit card brand required."
"Problem with bank account data.","Problem with bank account data."
"Bank account data combination mismatch.","Bank account data combination mismatch."
"User authentication failed.","User authentication failed."
"Problem with 3d secure data.","Problem with 3d secure data."
"Currency / amount mismatch","Currency / amount mismatch"
"Problem with input data.","Problem with input data."
"Amount too low or zero.","Amount too low or zero."
"Usage field too long.","Usage field too long."
"Currency not allowed.","Currency not allowed."
"General problem with backend.","General problem with backend."
"Country blacklisted.","Country blacklisted."
"Technical error with credit card.","Technical error with credit card."
"Error limit exceeded.","Error limit exceeded."
"Card declined by authorization system.","Card declined by authorization system."
"Manipulation or stolen card.","Manipulation or stolen card."
"Card restricted.","Card restricted"
"Invalid card configuration data.","Invalid card configuration data."
"Technical error with bank account.","Technical error with bank account."
"Card blacklisted.","Card blacklisted."
"Technical error with 3D secure.","Technical error with 3D secure."
"Decline because of risk issues.","Decline because of risk issues."
"General timeout.","General timeout."
"Timeout on side of the acquirer.","Timeout on side of the acquirer."
"Risk management transaction timeout.","Risk management transaction timeout"
"Duplicate transaction.","Duplicate transaction."
PAYMILL_internal_server_error,"The communication with the psp failed."
PAYMILL_invalid_public_key,"The public key is invalid."
PAYMILL_invalid_payment_data,"Paymentmethod, card type currency or country not authorized"
PAYMILL_unknown_error,"Unknown Error"
PAYMILL_3ds_cancelled,"3-D Secure process has been canceled by the user"
PAYMILL_field_invalid_card_exp_year,"Invalid Expiry Year"
PAYMILL_field_invalid_card_exp_month,"Invalid Expiry Month"
PAYMILL_field_invalid_card_exp,"Credit Card not valid"
PAYMILL_field_invalid_amount_int,"Missing amount for 3-D Secure"
PAYMILL_field_field_invalid_amount,"Missing amount for 3-D Secure"
PAYMILL_field_field_field_invalid_currency,"Invalid currency for 3-D Secure"
PAYMILL_field_invalid_iban,"Invalid IBAN"
PAYMILL_field_invalid_bic,"Invalid BIC"
PAYMILL_field_invalid_country,"Invalid country for sepa transactions"
PAYMILL_field_invalid_bank_data,"Invalid bank data"
paymill_send_invoice_mail,"Enviar factura por correo"
paymill_error_text_invalid_iban_elv,"Por favor, introduzca un IBAN válido"
paymill_error_text_invalid_bic,"Por favor, introduzca un BIC válido."
paymill_accepted_creditcards,"Tipo de tarjetas de crédito aceptadas"
paymill_feedback_error_directdebit_number_iban,"Por favor, indique un código bancario o identificación válida"
paymill_feedback_error_directdebit_bankcode_bic,"Por favor, indique un número de cuenta o IBAN válido"
paymill_prenotification,"Días hasta el cargo en cuenta."
paymill_prenotification_text,"El cargo en cuenta automático  se realiza en la fecha siguiente:"
paymill_show_creditcards,"Show creditcard logos"
paymill_select_creditcards,"Select creditcard logos"
